
 CHARACTERS IN INTEGER FIELD    =   7
 OUTPUT DISPLAY TYPE            =   E 
 CHARACTERS PER OUTPUT FIELD    =  15
 CHARACTERS AFTER DECIMAL POINT =   5
 LINES PER PAGE                 =8788
 CHARACTERS PER LINE            = 140

 PRINT S    NODAL SOLUTION PER NODE

 *** WARNING ***                         CP =       0.812   TIME= 15:24:37
 The selected element set contains stiffness types (such as SURF154 )    
  which are not valid for error estimation.                              

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.2     18.2     ***
 DISTRIBUTED ANSYS Academic Teaching Introductory              

 01055371  VERSION=WINDOWS x64   15:24:37  FEB 18, 2018 CP=      0.812

 Simple Cube--Static Structural (A5)                                           


 
  ***** POST1 NODAL STRESS LISTING *****                                       
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING X,Y,Z VALUES ARE IN GLOBAL COORDINATES                         
 
    NODE       SX             SY             SZ             SXY            SYZ            SXZ     
      49   -0.64482E-002  -0.39552E+000  -0.10277E-002   0.45638E-003  -0.34900E-002  -0.65760E-003
      50   -0.48881E-003  -0.39670E+000  -0.23203E-003  -0.94383E-003  -0.41157E-002  -0.53043E-003
      51    0.23420E-002  -0.39780E+000   0.16504E-003  -0.15956E-002  -0.39284E-002  -0.38693E-003
      52    0.34363E-002  -0.39865E+000   0.36038E-003  -0.17617E-002  -0.33915E-002  -0.25167E-003
      53    0.37838E-002  -0.39921E+000   0.50030E-003  -0.16433E-002  -0.27003E-002  -0.13415E-003
      54    0.40914E-002  -0.39954E+000   0.67409E-003  -0.13349E-002  -0.18945E-002  -0.33704E-004
      55    0.49704E-002  -0.39975E+000   0.90070E-003  -0.80320E-003  -0.97055E-003   0.56962E-004
      56   -0.10112E+000  -0.40025E+000  -0.40353E-001   0.29104E-009   0.56936E-001  -0.61095E-009
      57   -0.68828E-001  -0.41100E+000  -0.17298E-001   0.14552E-008   0.21662E-001  -0.13060E-008
      58   -0.38071E-001  -0.39776E+000  -0.65385E-002   0.18044E-008   0.53948E-002   0.70941E-010
      59   -0.18799E-001  -0.39494E+000  -0.28552E-002   0.12005E-008  -0.10488E-002   0.40563E-009
      60   -0.71281E-002  -0.39561E+000  -0.10229E-002   0.10368E-008  -0.35313E-002   0.49295E-009
      61   -0.73519E-003  -0.39702E+000  -0.21433E-003   0.49113E-009  -0.41736E-002   0.14370E-009
      62    0.23359E-002  -0.39824E+000   0.17195E-003  -0.47294E-009  -0.39881E-002   0.11551E-009
      63    0.35537E-002  -0.39905E+000   0.36335E-003  -0.98953E-009  -0.34446E-002   0.75988E-009
      64    0.39511E-002  -0.39951E+000   0.50094E-003  -0.29831E-009  -0.27441E-002   0.50215E-009
      65    0.42950E-002  -0.39971E+000   0.67532E-003   0.16735E-009  -0.19277E-002   0.59208E-009
      66    0.52686E-002  -0.39982E+000   0.90692E-003  -0.50932E-010  -0.98997E-003  -0.12710E-009
      67   -0.10040E+000  -0.40081E+000  -0.40317E-001  -0.11127E-001   0.56789E-001   0.19659E-003
      68   -0.67459E-001  -0.41164E+000  -0.17234E-001  -0.88652E-002   0.21549E-001   0.49531E-003
      69   -0.36563E-001  -0.39830E+000  -0.64862E-002  -0.57739E-002   0.53410E-002   0.68181E-003
      70   -0.17645E-001  -0.39521E+000  -0.28455E-002  -0.27562E-002  -0.10461E-002   0.72563E-003
      71   -0.64482E-002  -0.39552E+000  -0.10277E-002  -0.45638E-003  -0.34900E-002   0.65760E-003
      72   -0.48881E-003  -0.39670E+000  -0.23203E-003   0.94383E-003  -0.41157E-002   0.53043E-003
      73    0.23420E-002  -0.39780E+000   0.16504E-003   0.15956E-002  -0.39284E-002   0.38693E-003
      74    0.34363E-002  -0.39865E+000   0.36038E-003   0.17617E-002  -0.33915E-002   0.25167E-003
      75    0.37838E-002  -0.39921E+000   0.50030E-003   0.16433E-002  -0.27003E-002   0.13415E-003
      76    0.40914E-002  -0.39954E+000   0.67409E-003   0.13349E-002  -0.18945E-002   0.33704E-004
      77    0.49704E-002  -0.39975E+000   0.90070E-003   0.80320E-003  -0.97055E-003  -0.56963E-004
      78   -0.97919E-001  -0.40257E+000  -0.40148E-001  -0.22698E-001   0.56342E-001   0.43427E-003
      79   -0.62909E-001  -0.41372E+000  -0.17001E-001  -0.17545E-001   0.21204E-001   0.10716E-002
      80   -0.31887E-001  -0.39991E+000  -0.63406E-002  -0.10826E-001   0.51899E-002   0.14425E-002
      81   -0.14197E-001  -0.39573E+000  -0.27937E-002  -0.46649E-002  -0.10179E-002   0.14856E-002
      82   -0.47079E-002  -0.39501E+000  -0.10779E-002  -0.34021E-003  -0.33526E-002   0.13044E-002
      83    0.11882E-003  -0.39546E+000  -0.25650E-003   0.20505E-002  -0.39357E-002   0.10234E-002
      84    0.22838E-002  -0.39640E+000   0.15689E-003   0.30739E-002  -0.37522E-002   0.72898E-003
      85    0.30669E-002  -0.39740E+000   0.36409E-003   0.32609E-002  -0.32396E-002   0.46494E-003
      86    0.32887E-002  -0.39829E+000   0.50455E-003   0.29743E-002  -0.25782E-002   0.24287E-003
      87    0.35116E-002  -0.39901E+000   0.67367E-003   0.23798E-002  -0.18030E-002   0.57514E-004
      88    0.41485E-002  -0.39954E+000   0.88529E-003   0.14199E-002  -0.91729E-003  -0.10799E-003
      89   -0.92661E-001  -0.40670E+000  -0.39891E-001  -0.35006E-001   0.55575E-001   0.77751E-003
      90   -0.53631E-001  -0.41762E+000  -0.16454E-001  -0.25447E-001   0.20615E-001   0.17990E-002
      91   -0.23199E-001  -0.40213E+000  -0.59670E-002  -0.13807E-001   0.49944E-002   0.23153E-002
      92   -0.94475E-002  -0.39581E+000  -0.29021E-002  -0.46562E-002  -0.90589E-003   0.22407E-002
      93   -0.25029E-002  -0.39297E+000  -0.10848E-002   0.63013E-003  -0.30762E-002   0.18582E-002
      94    0.69169E-003  -0.39273E+000  -0.23401E-003   0.32207E-002  -0.36283E-002   0.13886E-002
      95    0.20191E-002  -0.39373E+000   0.20164E-003   0.41646E-002  -0.34774E-002   0.95281E-003
      96    0.24250E-002  -0.39522E+000   0.40616E-003   0.41788E-002  -0.30182E-002   0.58707E-003
      97    0.25080E-002  -0.39677E+000   0.53238E-003   0.36853E-002  -0.24093E-002   0.29481E-003
      98    0.26442E-002  -0.39814E+000   0.68152E-003   0.28700E-002  -0.16811E-002   0.60459E-004
      99    0.30062E-002  -0.39919E+000   0.86827E-003   0.16797E-002  -0.84722E-003  -0.14533E-003
     100   -0.79885E-001  -0.41338E+000  -0.38371E-001  -0.48694E-001   0.54521E-001   0.11313E-002
     101   -0.33968E-001  -0.42364E+000  -0.14746E-001  -0.29381E-001   0.19884E-001   0.26683E-002
     102   -0.13635E-001  -0.40440E+000  -0.64760E-002  -0.11760E-001   0.48591E-002   0.31272E-002
     103   -0.46561E-002  -0.39207E+000  -0.27817E-002  -0.24649E-002  -0.57278E-003   0.27178E-002
     104   -0.78156E-003  -0.38785E+000  -0.88254E-003   0.19987E-002  -0.26402E-002   0.20620E-002
     105    0.86744E-003  -0.38776E+000  -0.17919E-004   0.38760E-002  -0.32389E-002   0.14503E-002
     106    0.14552E-002  -0.38964E+000   0.37462E-003   0.43660E-002  -0.31749E-002   0.94478E-003
     107    0.15755E-002  -0.39219E+000   0.53070E-003   0.41300E-002  -0.27996E-002   0.55242E-003
     108    0.15656E-002  -0.39476E+000   0.60777E-003   0.35049E-002  -0.22599E-002   0.25707E-003
     109    0.16360E-002  -0.39702E+000   0.70662E-003   0.26222E-002  -0.15843E-002   0.35043E-004
     110    0.18136E-002  -0.39873E+000   0.85206E-003   0.14670E-002  -0.79531E-003  -0.15346E-003
     111   -0.32697E-001  -0.43531E+000  -0.32697E-001  -0.53105E-001   0.53105E-001   0.91928E-003
     112   -0.17320E-001  -0.43441E+000  -0.17320E-001  -0.19034E-001   0.19034E-001   0.26813E-002
     113   -0.55351E-002  -0.39449E+000  -0.55351E-002  -0.52980E-002   0.52980E-002   0.29359E-002
     114   -0.16736E-002  -0.38076E+000  -0.16736E-002   0.13325E-004  -0.13322E-004   0.21332E-002
     115   -0.37428E-004  -0.37823E+000  -0.37429E-004   0.22229E-002  -0.22229E-002   0.15068E-002
     116    0.55444E-003  -0.38039E+000   0.55445E-003   0.29780E-002  -0.29780E-002   0.98874E-003
     117    0.74043E-003  -0.38437E+000   0.74044E-003   0.30271E-002  -0.30271E-002   0.60844E-003
     118    0.74566E-003  -0.38873E+000   0.74566E-003   0.27277E-002  -0.27277E-002   0.33143E-003
     119    0.72111E-003  -0.39271E+000   0.72111E-003   0.22411E-002  -0.22411E-002   0.13453E-003
     120    0.75421E-003  -0.39597E+000   0.75421E-003   0.16030E-002  -0.16030E-002  -0.87632E-006
     121    0.84417E-003  -0.39832E+000   0.84417E-003   0.82094E-003  -0.82094E-003  -0.10560E-003
     122   -0.38371E-001  -0.41338E+000  -0.79885E-001   0.54521E-001   0.48694E-001  -0.11313E-002
     123   -0.14746E-001  -0.42364E+000  -0.33968E-001   0.19884E-001   0.29381E-001  -0.26683E-002
     124   -0.64760E-002  -0.40440E+000  -0.13635E-001   0.48591E-002   0.11760E-001  -0.31272E-002
     125   -0.27817E-002  -0.39207E+000  -0.46561E-002  -0.57278E-003   0.24649E-002  -0.27178E-002
     126   -0.88254E-003  -0.38785E+000  -0.78156E-003  -0.26402E-002  -0.19987E-002  -0.20620E-002
     127   -0.17921E-004  -0.38776E+000   0.86744E-003  -0.32389E-002  -0.38760E-002  -0.14503E-002
     128    0.37462E-003  -0.38964E+000   0.14552E-002  -0.31749E-002  -0.43660E-002  -0.94478E-003
     129    0.53070E-003  -0.39219E+000   0.15755E-002  -0.27996E-002  -0.41300E-002  -0.55241E-003
     130    0.60777E-003  -0.39476E+000   0.15656E-002  -0.22599E-002  -0.35049E-002  -0.25707E-003
     131    0.70662E-003  -0.39702E+000   0.16360E-002  -0.15843E-002  -0.26222E-002  -0.35043E-004
     132    0.85206E-003  -0.39873E+000   0.18136E-002  -0.79531E-003  -0.14670E-002   0.15346E-003
     133   -0.87096E-001  -0.39286E+000  -0.87096E-001   0.49606E-001   0.49606E-001  -0.15728E-002
     134   -0.32913E-001  -0.41242E+000  -0.32913E-001   0.29956E-001   0.29956E-001  -0.30578E-002
     135   -0.16654E-001  -0.41530E+000  -0.16654E-001   0.11653E-001   0.11653E-001  -0.37629E-002
     136   -0.70926E-002  -0.40455E+000  -0.70926E-002   0.20590E-002   0.20590E-002  -0.35067E-002
     137   -0.25953E-002  -0.39840E+000  -0.25953E-002  -0.23549E-002  -0.23549E-002  -0.28129E-002
     138   -0.32180E-003  -0.39569E+000  -0.32181E-003  -0.41074E-002  -0.41074E-002  -0.20615E-002
     139    0.71583E-003  -0.39520E+000   0.71583E-003  -0.44882E-002  -0.44882E-002  -0.13913E-002
     140    0.11617E-002  -0.39580E+000   0.11617E-002  -0.41734E-002  -0.41734E-002  -0.84487E-003
     141    0.13774E-002  -0.39687E+000   0.13774E-002  -0.34935E-002  -0.34935E-002  -0.41719E-003
     142    0.15990E-002  -0.39809E+000   0.15990E-002  -0.25790E-002  -0.25790E-002  -0.83037E-004
     143    0.18855E-002  -0.39916E+000   0.18855E-002  -0.14318E-002  -0.14318E-002   0.20674E-003
     144   -0.10030E+000  -0.38642E+000  -0.88209E-001   0.35365E-001   0.50619E-001  -0.12761E-002
     145   -0.54729E-001  -0.40688E+000  -0.35680E-001   0.25719E-001   0.30721E-001  -0.24054E-002
     146   -0.28167E-001  -0.41352E+000  -0.16926E-001   0.13810E-001   0.11819E-001  -0.30355E-002
     147   -0.13350E-001  -0.40902E+000  -0.79299E-002   0.45132E-002   0.17499E-002  -0.30191E-002
     148   -0.53384E-002  -0.40419E+000  -0.33222E-002  -0.78573E-003  -0.28286E-002  -0.25739E-002
     149   -0.11899E-002  -0.40114E+000  -0.91578E-003  -0.33165E-002  -0.45616E-002  -0.19735E-002
     150    0.84484E-003  -0.39959E+000   0.29835E-003  -0.41950E-002  -0.48547E-002  -0.13830E-002
     151    0.17683E-002  -0.39900E+000   0.89602E-003  -0.41587E-002  -0.44433E-002  -0.87069E-003
     152    0.22199E-002  -0.39896E+000   0.12426E-002  -0.36308E-002  -0.36791E-002  -0.45133E-003
     153    0.26088E-002  -0.39924E+000   0.15818E-002  -0.28015E-002  -0.26991E-002  -0.11095E-003
     154    0.31361E-002  -0.39963E+000   0.19748E-002  -0.16357E-002  -0.14962E-002   0.18302E-003
     155   -0.10618E+000  -0.38253E+000  -0.88401E-001   0.22794E-001   0.51418E-001  -0.81427E-003
     156   -0.65098E-001  -0.40321E+000  -0.36486E-001   0.17623E-001   0.31332E-001  -0.15399E-002
     157   -0.38201E-001  -0.41174E+000  -0.17715E-001   0.10826E-001   0.12064E-001  -0.20037E-002
     158   -0.19263E-001  -0.40941E+000  -0.81244E-002   0.46240E-002   0.16259E-002  -0.20771E-002
     159   -0.84342E-002  -0.40667E+000  -0.35665E-002   0.30513E-003  -0.31654E-002  -0.18503E-002
     160   -0.23970E-002  -0.40422E+000  -0.11222E-002  -0.20563E-002  -0.49545E-002  -0.14728E-002
     161    0.68727E-003  -0.40249E+000   0.12632E-003  -0.30462E-002  -0.52155E-002  -0.10638E-002
     162    0.21587E-002  -0.40131E+000   0.77853E-003  -0.32072E-002  -0.47384E-002  -0.68820E-003
     163    0.28822E-002  -0.40055E+000   0.11849E-002  -0.29040E-002  -0.39049E-002  -0.36814E-003
     164    0.34584E-002  -0.40015E+000   0.15898E-002  -0.23072E-002  -0.28607E-002  -0.10114E-003
     165    0.43227E-002  -0.40000E+000   0.20652E-002  -0.13758E-002  -0.15883E-002   0.12997E-003
     166   -0.10891E+000  -0.38082E+000  -0.88533E-001   0.11138E-001   0.51908E-001  -0.38485E-003
     167   -0.70193E-001  -0.40126E+000  -0.36827E-001   0.88743E-002   0.31723E-001  -0.73927E-003
     168   -0.43552E-001  -0.41035E+000  -0.18002E-001   0.57659E-002   0.12248E-001  -0.97728E-003
     169   -0.23395E-001  -0.40917E+000  -0.83221E-002   0.27456E-002   0.15930E-002  -0.10372E-002
     170   -0.10745E-001  -0.40744E+000  -0.36217E-002   0.45695E-003  -0.33454E-002  -0.94751E-003
     171   -0.34348E-002  -0.40565E+000  -0.11784E-002  -0.92731E-003  -0.51962E-002  -0.77185E-003
     172    0.44748E-003  -0.40404E+000   0.79392E-004  -0.15646E-002  -0.54564E-002  -0.56852E-003
     173    0.23424E-002  -0.40265E+000   0.74204E-003  -0.17201E-002  -0.49477E-002  -0.37397E-003
     174    0.32834E-002  -0.40152E+000   0.11702E-002  -0.15955E-002  -0.40729E-002  -0.20363E-003
     175    0.40173E-002  -0.40070E+000   0.16062E-002  -0.12885E-002  -0.29851E-002  -0.59024E-004
     176    0.51712E-002  -0.40022E+000   0.21350E-002  -0.77535E-003  -0.16604E-002   0.66810E-004
     177   -0.10971E+000  -0.38027E+000  -0.88558E-001   0.93132E-009   0.52071E-001  -0.95497E-009
     178   -0.71716E-001  -0.40065E+000  -0.36916E-001   0.13388E-008   0.31855E-001  -0.14079E-008
     179   -0.45270E-001  -0.40989E+000  -0.18095E-001   0.87311E-009   0.12314E-001  -0.49477E-009
     180   -0.24763E-001  -0.40900E+000  -0.83672E-002   0.11496E-008   0.15888E-002   0.51296E-009
     181   -0.11616E-001  -0.40761E+000  -0.36486E-002   0.88403E-009  -0.34006E-002  -0.13097E-009
     182   -0.38300E-002  -0.40604E+000  -0.11819E-002   0.23829E-009  -0.52759E-002   0.26193E-009
     183    0.33558E-003  -0.40452E+000   0.71102E-004  -0.57480E-009  -0.55394E-002   0.14188E-009
     184    0.23925E-002  -0.40308E+000   0.73644E-003  -0.19645E-009  -0.50219E-002   0.56752E-009
     185    0.34158E-002  -0.40183E+000   0.11688E-002   0.17462E-009  -0.41338E-002   0.66029E-009
     186    0.42121E-002  -0.40088E+000   0.16140E-002   0.72760E-010  -0.30309E-002   0.16757E-009
     187    0.54782E-002  -0.40030E+000   0.21613E-002  -0.18190E-011  -0.16870E-002  -0.34788E-010
     188   -0.10891E+000  -0.38082E+000  -0.88533E-001  -0.11138E-001   0.51908E-001   0.38485E-003
     189   -0.70193E-001  -0.40126E+000  -0.36827E-001  -0.88743E-002   0.31723E-001   0.73927E-003
     190   -0.43552E-001  -0.41035E+000  -0.18002E-001  -0.57659E-002   0.12248E-001   0.97728E-003
     191   -0.23395E-001  -0.40917E+000  -0.83221E-002  -0.27456E-002   0.15930E-002   0.10372E-002
     192   -0.10745E-001  -0.40744E+000  -0.36217E-002  -0.45695E-003  -0.33454E-002   0.94751E-003
     193   -0.34348E-002  -0.40565E+000  -0.11784E-002   0.92731E-003  -0.51962E-002   0.77185E-003
     194    0.44748E-003  -0.40404E+000   0.79391E-004   0.15646E-002  -0.54564E-002   0.56852E-003
     195    0.23424E-002  -0.40265E+000   0.74204E-003   0.17201E-002  -0.49477E-002   0.37397E-003
     196    0.32834E-002  -0.40152E+000   0.11702E-002   0.15955E-002  -0.40729E-002   0.20363E-003
     197    0.40173E-002  -0.40070E+000   0.16062E-002   0.12885E-002  -0.29851E-002   0.59024E-004
     198    0.51713E-002  -0.40022E+000   0.21350E-002   0.77535E-003  -0.16604E-002  -0.66811E-004
     199   -0.10618E+000  -0.38253E+000  -0.88401E-001  -0.22794E-001   0.51418E-001   0.81427E-003
     200   -0.65098E-001  -0.40321E+000  -0.36486E-001  -0.17623E-001   0.31332E-001   0.15399E-002
     201   -0.38201E-001  -0.41174E+000  -0.17715E-001  -0.10826E-001   0.12064E-001   0.20037E-002
     202   -0.19263E-001  -0.40941E+000  -0.81244E-002  -0.46240E-002   0.16259E-002   0.20771E-002
     203   -0.84342E-002  -0.40667E+000  -0.35665E-002  -0.30513E-003  -0.31654E-002   0.18503E-002
