
 CHARACTERS IN INTEGER FIELD    =   7
 OUTPUT DISPLAY TYPE            =   E 
 CHARACTERS PER OUTPUT FIELD    =  15
 CHARACTERS AFTER DECIMAL POINT =   5
 LINES PER PAGE                 =3784
 CHARACTERS PER LINE            = 140

 PRINT S    NODAL SOLUTION PER NODE

 *** WARNING ***                         CP =       1.234   TIME= 12:47:16
 The selected element set contains stiffness types (such as SURF154 )    
  which are not valid for error estimation.                              

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE 2019 R2          19.4     ***
 DISTRIBUTED ANSYS Mechanical Enterprise                       

 00348435  VERSION=WINDOWS x64   12:47:16  AUG 04, 2019 CP=      1.234

 first try--Static Structural (B5)                                             


 
  ***** POST1 NODAL STRESS LISTING *****                                       
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING X,Y,Z VALUES ARE IN GLOBAL COORDINATES                         
 
    NODE       SX             SY             SZ             SXY            SYZ            SXZ     
      51    0.52595E-002   0.17890E-002  -0.14812E-003  -0.65521E-017   0.37753E-017  -0.40634E-004
      52    0.53076E-002   0.17894E-002  -0.19500E-003  -0.20827E-016   0.64322E-018  -0.98056E-004
      53    0.53910E-002   0.18024E-002  -0.24125E-003  -0.31011E-017  -0.46093E-018  -0.17102E-003
      54    0.54819E-002   0.18026E-002  -0.33159E-003  -0.99016E-017  -0.41871E-017  -0.28288E-003
      55    0.57338E-002   0.22047E-002   0.56540E-003   0.25430E-017   0.12869E-017   0.26568E-003
      56    0.57223E-002   0.22669E-002   0.75460E-003  -0.35265E-017   0.31441E-018   0.12767E-003
      57    0.57006E-002   0.23030E-002   0.87937E-003  -0.21821E-017   0.72078E-018   0.51204E-004
      58    0.56752E-002   0.23227E-002   0.96103E-003   0.19039E-017  -0.28895E-018   0.16549E-004
      59    0.56615E-002   0.23274E-002   0.98823E-003  -0.36960E-017   0.24181E-018  -0.12896E-005
      60    0.56738E-002   0.23181E-002   0.94925E-003  -0.18616E-017   0.57187E-018  -0.17306E-004
      61    0.57689E-002   0.22084E-002   0.54071E-003   0.33584E-017   0.29280E-017  -0.22807E-003
      62    0.55631E-002   0.21945E-002   0.70686E-003   0.14655E-016  -0.50035E-017  -0.62218E-004
      63    0.54068E-002   0.22638E-002   0.10612E-002   0.22930E-017  -0.56346E-018   0.26130E-004
      64    0.54147E-002   0.23036E-002   0.11669E-002   0.44089E-017  -0.25185E-017   0.15966E-003
      65    0.55724E-002   0.19672E-002   0.48310E-004   0.77888E-017   0.73808E-017   0.89427E-004
      66    0.58238E-002   0.22929E-002   0.72733E-003  -0.14870E-017   0.60335E-018  -0.21125E-003
      67    0.55312E-002   0.23116E-002   0.10734E-002   0.49431E-017   0.27926E-017   0.17376E-003
      68    0.54292E-002   0.21768E-002   0.79007E-003   0.13597E-016   0.99063E-019  -0.40103E-004
      69    0.53518E-002   0.22324E-002   0.10265E-002   0.11903E-016  -0.28103E-017   0.49432E-004
      70    0.54019E-002   0.22789E-002   0.11093E-002  -0.93480E-018  -0.46218E-018   0.11336E-003
      71    0.54773E-002   0.20111E-002   0.26884E-003   0.11973E-016   0.63994E-018   0.38393E-004
      72    0.53866E-002   0.20354E-002   0.42870E-003   0.32920E-017   0.98927E-018   0.41737E-005
      73    0.53012E-002   0.20186E-002   0.46627E-003   0.33067E-017   0.75644E-018  -0.17008E-005
      74    0.52780E-002   0.20105E-002   0.46633E-003  -0.27700E-017  -0.38741E-017  -0.26008E-005
      75    0.53120E-002   0.20017E-002   0.40722E-003   0.36916E-017  -0.25293E-017   0.44236E-006
      76    0.53369E-002   0.22248E-002   0.10198E-002   0.80138E-017  -0.85709E-018  -0.15322E-004
      77    0.56096E-002   0.23027E-002   0.96961E-003   0.26349E-017   0.15067E-017  -0.88164E-004
      78    0.56001E-002   0.23003E-002   0.97211E-003  -0.10189E-017  -0.10989E-017  -0.71759E-005
      79    0.56121E-002   0.22996E-002   0.95821E-003   0.32610E-017  -0.78020E-018   0.72704E-004
      80    0.53539E-002   0.21470E-002   0.78047E-003  -0.11299E-017   0.12752E-018  -0.91436E-005
      81    0.53284E-002   0.22175E-002   0.10073E-002  -0.10201E-017  -0.25334E-017   0.41261E-004
      82    0.48998E-002   0.16774E-002  -0.10727E-003  -0.49320E-017  -0.20903E-017   0.90324E-004
      83    0.47563E-002   0.16276E-002  -0.10595E-003  -0.52686E-017  -0.17605E-017   0.19831E-003
      84    0.45339E-002   0.15509E-002  -0.10282E-003  -0.13825E-016  -0.14512E-017   0.31089E-003
      85    0.42372E-002   0.14444E-002  -0.11046E-003  -0.20556E-016   0.66155E-017   0.42647E-003
      86    0.38525E-002   0.13031E-002  -0.12937E-003  -0.15184E-016   0.17265E-017   0.55246E-003
      87    0.33710E-002   0.11364E-002  -0.12429E-003  -0.55116E-017   0.18004E-017   0.68030E-003
      88    0.29090E-002   0.98771E-003  -0.86951E-004  -0.56972E-017   0.10073E-016   0.80442E-003
      89    0.32279E-002   0.12941E-002   0.46945E-003   0.16520E-016  -0.20951E-017   0.15326E-002
      90    0.46117E-002   0.18915E-002   0.79253E-003   0.25687E-017   0.80045E-017   0.19836E-002
      91    0.62066E-002   0.21704E-002  -0.54074E-005   0.13422E-016   0.17920E-017   0.15682E-002
      92    0.82575E-002   0.36560E-002   0.21881E-002   0.30056E-017   0.61191E-017  -0.83052E-003
      93    0.48983E-002   0.16766E-002  -0.10806E-003   0.27111E-016  -0.51007E-017  -0.91158E-004
      94    0.49274E-002   0.16351E-002  -0.25579E-003  -0.12089E-017  -0.19654E-018  -0.18390E-003
      95    0.49764E-002   0.15858E-002  -0.44552E-003   0.65790E-017  -0.34803E-017  -0.24001E-003
      96    0.50164E-002   0.15285E-002  -0.64928E-003  -0.12708E-016  -0.23623E-017  -0.24804E-003
      97    0.50389E-002   0.14687E-002  -0.84264E-003  -0.35036E-016  -0.27783E-017  -0.21983E-003
      98    0.50456E-002   0.14131E-002  -0.10083E-002  -0.41364E-016  -0.49960E-017  -0.17335E-003
      99    0.50431E-002   0.13673E-002  -0.11365E-002  -0.31520E-016  -0.42333E-017  -0.12320E-003
     100    0.50371E-002   0.13342E-002  -0.12251E-002  -0.45559E-016  -0.29167E-017  -0.76975E-004
     101    0.50319E-002   0.13144E-002  -0.12764E-002  -0.27084E-016  -0.10123E-017  -0.36518E-004
     102    0.50298E-002   0.13078E-002  -0.12931E-002  -0.57737E-017  -0.25920E-017   0.79676E-007
     103    0.50315E-002   0.13143E-002  -0.12764E-002  -0.28533E-016  -0.27539E-017   0.36455E-004
     104    0.50365E-002   0.13339E-002  -0.12253E-002  -0.34563E-016  -0.33916E-017   0.76414E-004
     105    0.50431E-002   0.13670E-002  -0.11373E-002  -0.47000E-016   0.13113E-017   0.12232E-003
     106    0.50461E-002   0.14128E-002  -0.10097E-002  -0.38753E-016   0.56107E-017   0.17268E-003
     107    0.50396E-002   0.14684E-002  -0.84416E-003  -0.23355E-016   0.39239E-017   0.21980E-003
     108    0.50164E-002   0.15279E-002  -0.65098E-003   0.47175E-017   0.54326E-017   0.24828E-003
     109    0.49765E-002   0.15853E-002  -0.44717E-003   0.13272E-016  -0.98714E-018   0.23976E-003
     110    0.49270E-002   0.16347E-002  -0.25650E-003  -0.46541E-017   0.39215E-017   0.18299E-003
