    NODE   SXX         SYY         SZZ         SXY         SYZ         SZX  
       1   0.18710E+002   0.42068E+001  -0.18553E+001  -0.62579E+000  -0.35503E+001  -0.10512E+001
       2   0.97648E+001  -0.41518E+000   0.47536E+000  -0.16600E+001  -0.48540E+001   0.33904E+001
       3   0.81993E+000  -0.50372E+001   0.28060E+001  -0.26943E+001   0.32504E-009  -0.31492E-009
       4   0.97648E+001  -0.41518E+000   0.47536E+000  -0.16600E+001   0.48540E+001  -0.33904E+001
       5   0.18710E+002   0.42068E+001  -0.18553E+001  -0.62579E+000   0.35503E+001   0.10512E+001
       6   0.19719E+002   0.29753E+001   0.96862E+000   0.23470E+001  -0.11085E+001  -0.13799E+001
       7   0.10955E+002  -0.93849E+000   0.31333E+001   0.58770E+000  -0.23389E+001   0.22826E+001
       8   0.21913E+001  -0.48523E+001   0.52981E+001  -0.11717E+001   0.26863E-009  -0.20945E-009
       9   0.10955E+002  -0.93849E+000   0.31333E+001   0.58770E+000   0.23389E+001  -0.22826E+001
      10   0.19719E+002   0.29753E+001   0.96862E+000   0.23470E+001   0.11085E+001   0.13799E+001
      11   0.17866E+002  -0.49597E+001   0.12983E+001   0.88657E+000  -0.11884E-001  -0.30529E+001
      12   0.96993E+001  -0.61512E+001   0.33401E+001  -0.75179E+000  -0.60722E+000  -0.26335E+000
      13   0.15331E+001  -0.73426E+001   0.53820E+001  -0.23902E+001   0.32548E-009  -0.25811E-009
      14   0.96993E+001  -0.61512E+001   0.33401E+001  -0.75179E+000   0.60722E+000   0.26335E+000
      15   0.17866E+002  -0.49597E+001   0.12983E+001   0.88657E+000   0.11884E-001   0.30529E+001
      16   0.11296E+002  -0.12534E+002   0.26333E+000  -0.48475E+001  -0.20835E+001  -0.42674E+001
      17   0.24695E+001  -0.13693E+002   0.12590E+001  -0.46832E+001  -0.23844E+001  -0.18337E+001
      18  -0.63566E+001  -0.14851E+002   0.22546E+001  -0.45190E+001   0.18906E-009  -0.57300E-009
      19   0.24695E+001  -0.13693E+002   0.12590E+001  -0.46832E+001   0.23844E+001   0.18337E+001
      20   0.11296E+002  -0.12534E+002   0.26333E+000  -0.48475E+001   0.20835E+001   0.42674E+001
      21   0.75875E+001  -0.13405E+002   0.17227E+001   0.99279E-010  -0.73467E-009  -0.41376E+001
      22  -0.23146E+001  -0.16545E+002   0.16291E+001  -0.17141E-010  -0.67748E-009  -0.19660E+001
      23  -0.12217E+002  -0.19685E+002   0.15354E+001  -0.27593E-010  -0.37983E-009  -0.61028E-009
      24  -0.23146E+001  -0.16545E+002   0.16291E+001  -0.21301E-009  -0.17712E-010   0.19660E+001
      25   0.75875E+001  -0.13405E+002   0.17227E+001  -0.50441E-009   0.10395E-009   0.41376E+001
      26   0.11296E+002  -0.12534E+002   0.26333E+000   0.48475E+001   0.20835E+001  -0.42674E+001
      27   0.24695E+001  -0.13693E+002   0.12590E+001   0.46832E+001   0.23844E+001  -0.18337E+001
      28  -0.63566E+001  -0.14851E+002   0.22546E+001   0.45190E+001  -0.28555E-009  -0.36027E-009
      29   0.24695E+001  -0.13693E+002   0.12590E+001   0.46832E+001  -0.23844E+001   0.18337E+001
      30   0.11296E+002  -0.12534E+002   0.26333E+000   0.48475E+001  -0.20835E+001   0.42674E+001
      31   0.17866E+002  -0.49597E+001   0.12983E+001  -0.88657E+000   0.11884E-001  -0.30529E+001
      32   0.96993E+001  -0.61512E+001   0.33401E+001   0.75179E+000   0.60722E+000  -0.26335E+000
