    NODE   SXX         SYY         SZZ         SXY         SYZ         SZX  
       1   0.46064E+002  -0.75307E+001  -0.10282E+001  -0.58139E+001  -0.71474E+001   0.45150E+000
       2   0.31965E+002  -0.11238E+002   0.39029E+001  -0.63129E+001  -0.56824E+001   0.67294E+001
       3   0.17867E+002  -0.14946E+002   0.88341E+001  -0.68118E+001  -0.24991E-009  -0.25225E-009
       4   0.31965E+002  -0.11238E+002   0.39029E+001  -0.63129E+001   0.56824E+001  -0.67294E+001
       5   0.46064E+002  -0.75307E+001  -0.10282E+001  -0.58139E+001   0.71474E+001  -0.45150E+000
       6   0.35201E+002  -0.16079E+002  -0.45105E+000  -0.32274E+001  -0.16832E+001  -0.34068E+000
       7   0.20795E+002  -0.19853E+002   0.40095E+001  -0.45558E+001  -0.17149E+001   0.47211E+001
       8   0.63894E+001  -0.23628E+002   0.84701E+001  -0.58841E+001  -0.17594E-009  -0.14032E-009
       9   0.20795E+002  -0.19853E+002   0.40095E+001  -0.45558E+001   0.17149E+001  -0.47211E+001
      10   0.35201E+002  -0.16079E+002  -0.45105E+000  -0.32274E+001   0.16832E+001   0.34068E+000
      11   0.23486E+002  -0.34465E+002   0.13348E+000  -0.69699E+001   0.38854E+001  -0.15786E+001
      12   0.78148E+001  -0.37534E+002   0.30116E+001  -0.81195E+001   0.15328E+001   0.17051E+001
      13  -0.78569E+001  -0.40603E+002   0.58897E+001  -0.92691E+001  -0.83041E-010   0.92419E-011
      14   0.78148E+001  -0.37534E+002   0.30116E+001  -0.81195E+001  -0.15328E+001  -0.17051E+001
      15   0.23486E+002  -0.34465E+002   0.13348E+000  -0.69699E+001  -0.38854E+001   0.15786E+001
      16   0.22271E+002  -0.49578E+002   0.15697E+001  -0.12161E+002   0.10277E+001  -0.12310E+001
      17   0.34086E+001  -0.56443E+002   0.24270E+001  -0.12068E+002  -0.11855E+001   0.11715E+001
      18  -0.15453E+002  -0.63307E+002   0.32842E+001  -0.11975E+002  -0.47119E-010   0.18099E-009
