    NODE   SXX         SYY         SZZ         SXY         SYZ         SZX  
       1  -0.28806E+001   0.83588E+001  -0.10426E-001   0.54871E+001   0.12161E+001  -0.19356E+001
       2   0.37232E+000   0.44648E+001  -0.13218E+001   0.29403E+001   0.38529E+001   0.43149E+001
       3   0.36252E+001   0.57081E+000  -0.26332E+001   0.39358E+000  -0.23446E-010   0.14147E-009
       4   0.37232E+000   0.44648E+001  -0.13218E+001   0.29403E+001  -0.38529E+001  -0.43149E+001
       5  -0.28806E+001   0.83588E+001  -0.10426E-001   0.54871E+001  -0.12161E+001   0.19356E+001
       6  -0.12529E+001   0.14648E+002  -0.34447E+001   0.89450E+001   0.40205E+001  -0.25126E+001
       7   0.14140E+001   0.11911E+002  -0.45673E+001   0.65137E+001   0.57931E+001   0.27755E+001
       8   0.40808E+001   0.91747E+001  -0.56898E+001   0.40825E+001   0.99225E-010   0.16396E-009
       9   0.14140E+001   0.11911E+002  -0.45673E+001   0.65137E+001  -0.57931E+001  -0.27755E+001
      10  -0.12529E+001   0.14648E+002  -0.34447E+001   0.89450E+001  -0.40205E+001   0.25126E+001
      11  -0.21753E+000   0.25377E+002  -0.60301E+001   0.98315E+001   0.50544E+001  -0.34891E+001
      12   0.10819E+001   0.25957E+002  -0.98289E+001   0.90760E+001   0.46426E+001   0.81600E+000
      13   0.23814E+001   0.26536E+002  -0.13628E+002   0.83205E+001   0.71971E-010   0.22215E-009
      14   0.10819E+001   0.25957E+002  -0.98289E+001   0.90760E+001  -0.46426E+001  -0.81600E+000
      15  -0.21753E+000   0.25377E+002  -0.60301E+001   0.98315E+001  -0.50544E+001   0.34891E+001
      16  -0.33287E+000   0.36575E+002  -0.54786E+001   0.55448E+001   0.10203E+001  -0.42219E+001
      17  -0.73699E+000   0.35319E+002  -0.10616E+002   0.59330E+001  -0.27194E+000   0.11357E+000
      18  -0.11411E+001   0.34064E+002  -0.15753E+002   0.63212E+001  -0.32284E-009   0.20283E-009
      19  -0.73699E+000   0.35319E+002  -0.10616E+002   0.59330E+001   0.27194E+000  -0.11357E+000
      20  -0.33287E+000   0.36575E+002  -0.54786E+001   0.55448E+001  -0.10203E+001   0.42219E+001
      21   0.14412E+000   0.43333E+002  -0.57762E+001   0.27362E-009  -0.28216E-009  -0.45552E+001
      22  -0.11822E+001   0.38084E+002  -0.93865E+001   0.67985E-010  -0.56580E-009  -0.16870E+000
      23  -0.25085E+001   0.32834E+002  -0.12997E+002  -0.25559E-009  -0.55250E-009   0.15854E-010
      24  -0.11822E+001   0.38084E+002  -0.93865E+001  -0.22908E-009  -0.21282E-010   0.16870E+000
      25   0.14412E+000   0.43333E+002  -0.57762E+001  -0.84625E-010   0.21300E-009   0.45552E+001
      26  -0.33287E+000   0.36575E+002  -0.54786E+001  -0.55448E+001  -0.10203E+001  -0.42219E+001
      27  -0.73699E+000   0.35319E+002  -0.10616E+002  -0.59330E+001   0.27194E+000   0.11357E+000
      28  -0.11411E+001   0.34064E+002  -0.15753E+002  -0.63212E+001  -0.24237E-009  -0.10783E-009
      29  -0.73699E+000   0.35319E+002  -0.10616E+002  -0.59330E+001  -0.27194E+000  -0.11357E+000
      30  -0.33287E+000   0.36575E+002  -0.54786E+001  -0.55448E+001   0.10203E+001   0.42219E+001
      31  -0.21753E+000   0.25377E+002  -0.60301E+001  -0.98315E+001  -0.50544E+001  -0.34891E+001
      32   0.10819E+001   0.25957E+002  -0.98289E+001  -0.90760E+001  -0.46426E+001   0.81600E+000
      33   0.23814E+001   0.26536E+002  -0.13628E+002  -0.83205E+001   0.14841E-009  -0.12012E-009
      34   0.10819E+001   0.25957E+002  -0.98289E+001  -0.90760E+001   0.46426E+001  -0.81600E+000
      35  -0.21753E+000   0.25377E+002  -0.60301E+001  -0.98315E+001   0.50544E+001   0.34891E+001
      36  -0.12529E+001   0.14648E+002  -0.34447E+001  -0.89450E+001  -0.40205E+001  -0.25126E+001
      37   0.14140E+001   0.11911E+002  -0.45673E+001  -0.65137E+001  -0.57931E+001   0.27755E+001
      38   0.40808E+001   0.91747E+001  -0.56898E+001  -0.40825E+001   0.20667E-009  -0.20738E-009
      39   0.14140E+001   0.11911E+002  -0.45673E+001  -0.65137E+001   0.57931E+001  -0.27755E+001
      40  -0.12529E+001   0.14648E+002  -0.34447E+001  -0.89450E+001   0.40205E+001   0.25126E+001
      41  -0.28806E+001   0.83588E+001  -0.10426E-001  -0.54871E+001  -0.12161E+001  -0.19356E+001
      42   0.37232E+000   0.44648E+001  -0.13218E+001  -0.29403E+001  -0.38529E+001   0.43149E+001
      43   0.36252E+001   0.57081E+000  -0.26332E+001  -0.39358E+000   0.16907E-009  -0.27407E-009
      44   0.37232E+000   0.44648E+001  -0.13218E+001  -0.29403E+001   0.38529E+001  -0.43149E+001
      45  -0.28806E+001   0.83588E+001  -0.10426E-001  -0.54871E+001   0.12161E+001   0.19356E+001
      46  -0.66766E+001   0.64650E+001   0.20862E+001   0.44155E+001   0.30678E+001  -0.22051E+001
      47  -0.32836E+001   0.38531E+001   0.11147E+001   0.30301E+001   0.34459E+001   0.36155E+000
      48   0.10954E+000   0.12412E+001   0.14317E+000   0.16447E+001   0.29988E-010  -0.12045E-009
      49  -0.32836E+001   0.38531E+001   0.11147E+001   0.30301E+001  -0.34459E+001  -0.36155E+000
      50  -0.66766E+001   0.64650E+001   0.20862E+001   0.44155E+001  -0.30678E+001   0.22051E+001
      51   0.60709E+000   0.20977E+002   0.98761E-001   0.10703E+002   0.52438E+001   0.62208E-001
      52   0.28407E+001   0.21703E+002  -0.22700E+001   0.10395E+002   0.38761E+001  -0.85468E-002
      53   0.50743E+001   0.22430E+002  -0.46387E+001   0.10087E+002   0.11651E-009   0.97103E-010
      54   0.28407E+001   0.21703E+002  -0.22700E+001   0.10395E+002  -0.38761E+001   0.85468E-002
      55   0.60709E+000   0.20977E+002   0.98761E-001   0.10703E+002  -0.52438E+001  -0.62208E-001
      56   0.60709E+000   0.20977E+002   0.98761E-001  -0.10703E+002  -0.52438E+001   0.62208E-001
      57   0.28407E+001   0.21703E+002  -0.22700E+001  -0.10395E+002  -0.38761E+001  -0.85468E-002
      58   0.50743E+001   0.22430E+002  -0.46387E+001  -0.10087E+002   0.48097E-010  -0.61816E-010
      59   0.28407E+001   0.21703E+002  -0.22700E+001  -0.10395E+002   0.38761E+001   0.85468E-002
      60   0.60709E+000   0.20977E+002   0.98761E-001  -0.10703E+002   0.52438E+001  -0.62208E-001
      61  -0.66766E+001   0.64650E+001   0.20862E+001  -0.44155E+001  -0.30678E+001  -0.22051E+001
      62  -0.32836E+001   0.38531E+001   0.11147E+001  -0.30301E+001  -0.34459E+001   0.36155E+000
      63   0.10954E+000   0.12412E+001   0.14317E+000  -0.16447E+001   0.13639E-009  -0.18633E-009
      64  -0.32836E+001   0.38531E+001   0.11147E+001  -0.30301E+001   0.34459E+001  -0.36155E+000
      65  -0.66766E+001   0.64650E+001   0.20862E+001  -0.44155E+001   0.30678E+001   0.22051E+001
      66  -0.33868E+001   0.11825E+002   0.76669E+000   0.82085E+001   0.49158E+001  -0.16363E+001
      67  -0.36466E+000   0.10252E+002  -0.74189E-001   0.68767E+001   0.47877E+001  -0.11609E+000
      68   0.26575E+001   0.86799E+001  -0.91507E+000   0.55449E+001   0.10701E-009  -0.45592E-010
      69  -0.36466E+000   0.10252E+002  -0.74189E-001   0.68767E+001  -0.47877E+001   0.11609E+000
      70  -0.33868E+001   0.11825E+002   0.76669E+000   0.82085E+001  -0.49158E+001   0.16363E+001
      71   0.20208E+001   0.29475E+002   0.98109E+000   0.63561E+001   0.13198E+001   0.16518E+001
      72   0.32045E+001   0.28711E+002  -0.18599E+001   0.66770E+001  -0.14017E+000   0.86592E+000
      73   0.43881E+001   0.27947E+002  -0.47008E+001   0.69979E+001  -0.14800E-009   0.10751E-009
      74   0.32045E+001   0.28711E+002  -0.18599E+001   0.66770E+001   0.14017E+000  -0.86592E+000
      75   0.20208E+001   0.29475E+002   0.98109E+000   0.63561E+001  -0.13198E+001  -0.16518E+001
      76   0.27304E+001   0.34182E+002   0.12119E+001  -0.20559E-009  -0.21657E-009   0.21118E+001
      77   0.32818E+001   0.30667E+002  -0.44284E+000  -0.20290E-009  -0.34268E-009   0.11552E+001
      78   0.38332E+001   0.27153E+002  -0.20975E+001  -0.23967E-009  -0.29722E-009  -0.25894E-010
      79   0.32818E+001   0.30667E+002  -0.44284E+000  -0.12923E-009  -0.56637E-010  -0.11552E+001
      80   0.27304E+001   0.34182E+002   0.12119E+001   0.20668E-010   0.12374E-010  -0.21118E+001
      81   0.20208E+001   0.29475E+002   0.98109E+000  -0.63561E+001  -0.13198E+001   0.16518E+001
      82   0.32045E+001   0.28711E+002  -0.18599E+001  -0.66770E+001   0.14017E+000   0.86592E+000
      83   0.43881E+001   0.27947E+002  -0.47008E+001  -0.69979E+001  -0.14604E-009  -0.93717E-010
      84   0.32045E+001   0.28711E+002  -0.18599E+001  -0.66770E+001  -0.14017E+000  -0.86592E+000
      85   0.20208E+001   0.29475E+002   0.98109E+000  -0.63561E+001   0.13198E+001  -0.16518E+001
      86  -0.33868E+001   0.11825E+002   0.76669E+000  -0.82085E+001  -0.49158E+001  -0.16363E+001
      87  -0.36466E+000   0.10252E+002  -0.74189E-001  -0.68767E+001  -0.47877E+001  -0.11609E+000
      88   0.26575E+001   0.86799E+001  -0.91507E+000  -0.55449E+001   0.13762E-009  -0.11220E-009
      89  -0.36466E+000   0.10252E+002  -0.74189E-001  -0.68767E+001   0.47877E+001   0.11609E+000
      90  -0.33868E+001   0.11825E+002   0.76669E+000  -0.82085E+001   0.49158E+001   0.16363E+001
      91  -0.21942E+001   0.25226E+001   0.33198E+001   0.14393E+001   0.52025E+001  -0.35611E+001
      92   0.24841E+000   0.25705E+001   0.62036E+001   0.11770E+001   0.27883E+001  -0.47629E+001
      93   0.26910E+001   0.26185E+001   0.90875E+001   0.91474E+000   0.23467E-010  -0.33205E-009
      94   0.24841E+000   0.25705E+001   0.62036E+001   0.11770E+001  -0.27883E+001   0.47629E+001
      95  -0.21942E+001   0.25226E+001   0.33198E+001   0.14393E+001  -0.52025E+001   0.35611E+001
      96  -0.24366E+000   0.60509E+001   0.44033E+001   0.49116E+001   0.50111E+001  -0.30525E+001
      97   0.23667E+001   0.70208E+001   0.71403E+001   0.44333E+001   0.28798E+001  -0.49351E+001
      98   0.49770E+001   0.79907E+001   0.98773E+001   0.39550E+001   0.56518E-010  -0.26512E-009
      99   0.23667E+001   0.70208E+001   0.71403E+001   0.44333E+001  -0.28798E+001   0.49351E+001
     100  -0.24366E+000   0.60509E+001   0.44033E+001   0.49116E+001  -0.50111E+001   0.30525E+001
     101   0.52803E+001   0.11258E+002   0.68299E+001   0.80805E+001   0.35067E+001  -0.12003E+001
     102   0.85530E+001   0.13425E+002   0.98139E+001   0.79681E+001   0.17606E+001  -0.44196E+001
     103   0.11826E+002   0.15591E+002   0.12798E+002   0.78557E+001   0.88160E-010  -0.13709E-009
     104   0.85530E+001   0.13425E+002   0.98139E+001   0.79681E+001  -0.17606E+001   0.44196E+001
     105   0.52803E+001   0.11258E+002   0.68299E+001   0.80805E+001  -0.35067E+001   0.12003E+001
     106   0.14842E+002   0.14715E+002   0.10898E+002  -0.60005E-009  -0.36143E-010   0.28198E+001
     107   0.18729E+002   0.15083E+002   0.16887E+002  -0.46549E-009   0.15740E-010  -0.21466E+001
     108   0.22616E+002   0.15451E+002   0.22876E+002  -0.24793E-009   0.62606E-010   0.18005E-009
     109   0.18729E+002   0.15083E+002   0.16887E+002  -0.11368E-009  -0.12767E-010   0.21466E+001
     110   0.14842E+002   0.14715E+002   0.10898E+002  -0.62444E-010  -0.83122E-010  -0.28198E+001
     111   0.52803E+001   0.11258E+002   0.68299E+001  -0.80805E+001  -0.35067E+001  -0.12003E+001
     112   0.85530E+001   0.13425E+002   0.98139E+001  -0.79681E+001  -0.17606E+001  -0.44196E+001
     113   0.11826E+002   0.15591E+002   0.12798E+002  -0.78557E+001  -0.23355E-010   0.20042E-009
     114   0.85530E+001   0.13425E+002   0.98139E+001  -0.79681E+001   0.17606E+001   0.44196E+001
     115   0.52803E+001   0.11258E+002   0.68299E+001  -0.80805E+001   0.35067E+001   0.12003E+001
     116  -0.24366E+000   0.60509E+001   0.44033E+001  -0.49116E+001  -0.50111E+001  -0.30525E+001
