    NODE   SXX         SYY         SZZ         SXY         SYZ         SZX  
       1  -0.96524E+002   0.24015E+001  -0.46153E+001  -0.24679E+001  -0.35542E+001   0.67595E+000
       2  -0.10416E+003  -0.16186E+001  -0.97650E+001  -0.34116E+001  -0.14274E+001   0.34760E+001
       3  -0.11180E+003  -0.56387E+001  -0.14915E+002  -0.43554E+001   0.17012E-010  -0.96147E-010
       4  -0.10416E+003  -0.16186E+001  -0.97650E+001  -0.34116E+001   0.14274E+001  -0.34760E+001
       5  -0.96524E+002   0.24015E+001  -0.46153E+001  -0.24679E+001   0.35542E+001  -0.67595E+000
       6  -0.10249E+003   0.24230E+001  -0.63771E+001   0.16664E+001   0.40406E+000  -0.44197E+000
       7  -0.11145E+003  -0.28480E+001  -0.11878E+002   0.10745E+001   0.18479E+001   0.27146E+001
       8  -0.12041E+003  -0.81189E+001  -0.17379E+002   0.48261E+000  -0.58017E-011  -0.94432E-010
       9  -0.11145E+003  -0.28480E+001  -0.11878E+002   0.10745E+001  -0.18479E+001  -0.27146E+001
      10  -0.10249E+003   0.24230E+001  -0.63771E+001   0.16664E+001  -0.40406E+000   0.44197E+000
      11  -0.11279E+003   0.61028E+001  -0.10956E+002   0.31749E+001   0.47737E+001  -0.14909E+001
      12  -0.12406E+003  -0.24184E+000  -0.18203E+002   0.31032E+001   0.50281E+001   0.21756E+001
      13  -0.13533E+003  -0.65864E+001  -0.25451E+002   0.30315E+001  -0.36098E-010  -0.75685E-010
      14  -0.12406E+003  -0.24184E+000  -0.18203E+002   0.31032E+001  -0.50281E+001  -0.21756E+001
      15  -0.11279E+003   0.61028E+001  -0.10956E+002   0.31749E+001  -0.47737E+001   0.14909E+001
      16  -0.11985E+003   0.12677E+002  -0.16909E+002  -0.63826E+000   0.34688E+001  -0.11655E+001
      17  -0.13281E+003   0.52160E+001  -0.25913E+002  -0.51611E+000   0.32321E+001   0.25983E+001
      18  -0.14576E+003  -0.22453E+001  -0.34917E+002  -0.39396E+000  -0.13366E-010  -0.25132E-010
