    NODE   SXX         SYY         SZZ         SXY         SYZ         SZX  
      60   0.15862E+002  -0.28934E+002   0.19060E+001   0.69746E+001  -0.43983E+000  -0.61910E+000
      61   0.38193E+002  -0.57580E+001   0.46794E+001   0.52491E+001  -0.32309E+001   0.96814E+000
      62   0.41371E+002  -0.94946E+001   0.57160E+001   0.49698E+001  -0.14052E+000   0.13888E+001
      63   0.44549E+002  -0.13231E+002   0.67525E+001   0.46906E+001  -0.85975E-010   0.23859E-009
      64   0.41371E+002  -0.94946E+001   0.57160E+001   0.49698E+001   0.14052E+000  -0.13888E+001
      65   0.38193E+002  -0.57580E+001   0.46794E+001   0.52491E+001   0.32309E+001  -0.96814E+000
      66   0.29987E+002  -0.13204E+002   0.36364E+001  -0.74812E+001   0.25090E+001   0.89797E+000
      67   0.33826E+002  -0.15771E+002   0.45675E+001  -0.74220E+001   0.78035E+000   0.57598E+000
      68   0.37666E+002  -0.18338E+002   0.54985E+001  -0.73628E+001  -0.83532E-010  -0.17983E-010
      69   0.33826E+002  -0.15771E+002   0.45675E+001  -0.74220E+001  -0.78035E+000  -0.57598E+000
      70   0.29987E+002  -0.13204E+002   0.36364E+001  -0.74812E+001  -0.25090E+001  -0.89797E+000
      71   0.14186E+002  -0.40414E+002   0.32426E+001  -0.27018E+001  -0.29171E+001   0.57672E+000
      72   0.18309E+002  -0.38905E+002   0.44646E+001  -0.26702E+001  -0.29088E+001  -0.70792E+000
      73   0.22432E+002  -0.37396E+002   0.56866E+001  -0.26387E+001  -0.23319E-009   0.57772E-009
      74   0.18309E+002  -0.38905E+002   0.44646E+001  -0.26702E+001   0.29088E+001   0.70792E+000
      75   0.14186E+002  -0.40414E+002   0.32426E+001  -0.27018E+001   0.29171E+001  -0.57672E+000
      76   0.18429E+002  -0.43611E+002   0.52667E+001   0.54114E-009  -0.19535E-009   0.74304E+000
      77   0.21620E+002  -0.43444E+002   0.77282E+001   0.45788E-009  -0.68322E-010  -0.56914E+000
      78   0.24811E+002  -0.43276E+002   0.10190E+002   0.20846E-009   0.52078E-010   0.21739E-009
      79   0.21620E+002  -0.43444E+002   0.77282E+001  -0.97450E-010   0.48191E-010   0.56914E+000
      80   0.18429E+002  -0.43611E+002   0.52667E+001  -0.23721E-009   0.50926E-010  -0.74304E+000
      81   0.14186E+002  -0.40414E+002   0.32426E+001   0.27018E+001   0.29171E+001   0.57672E+000
      82   0.18309E+002  -0.38905E+002   0.44646E+001   0.26702E+001   0.29088E+001  -0.70792E+000
      83   0.22432E+002  -0.37396E+002   0.56866E+001   0.26387E+001   0.78230E-010  -0.33710E-010
      84   0.18309E+002  -0.38905E+002   0.44646E+001   0.26702E+001  -0.29088E+001   0.70792E+000
      85   0.14186E+002  -0.40414E+002   0.32426E+001   0.27018E+001  -0.29171E+001  -0.57672E+000
      86   0.29987E+002  -0.13204E+002   0.36364E+001   0.74812E+001  -0.25090E+001   0.89797E+000
      87   0.33826E+002  -0.15771E+002   0.45675E+001   0.74220E+001  -0.78035E+000   0.57598E+000
      88   0.37666E+002  -0.18338E+002   0.54985E+001   0.73628E+001   0.45611E-010  -0.17754E-010
      89   0.33826E+002  -0.15771E+002   0.45675E+001   0.74220E+001   0.78035E+000  -0.57598E+000
      90   0.29987E+002  -0.13204E+002   0.36364E+001   0.74812E+001   0.25090E+001  -0.89797E+000
      91   0.55239E+002  -0.38155E+001   0.47445E+001  -0.72377E+001   0.50245E+001   0.28572E+001
      92   0.57133E+002  -0.57715E+001   0.75194E+001  -0.80013E+001   0.95473E+000  -0.11272E+000
      93   0.59027E+002  -0.77276E+001   0.10294E+002  -0.87650E+001  -0.16097E-009  -0.37725E-009
      94   0.57133E+002  -0.57715E+001   0.75194E+001  -0.80013E+001  -0.95473E+000   0.11272E+000
      95   0.55239E+002  -0.38155E+001   0.47445E+001  -0.72377E+001  -0.50245E+001  -0.28572E+001
      96   0.46188E+002  -0.60481E+001   0.43262E+001  -0.86469E+001   0.45339E+001   0.12392E+001
      97   0.48703E+002  -0.66861E+001   0.59734E+001  -0.94246E+001   0.16891E+001  -0.13084E+001
      98   0.51218E+002  -0.73242E+001   0.76206E+001  -0.10202E+002  -0.66859E-010  -0.23788E-009
      99   0.48703E+002  -0.66861E+001   0.59734E+001  -0.94246E+001  -0.16891E+001   0.13084E+001
     100   0.46188E+002  -0.60481E+001   0.43262E+001  -0.86469E+001  -0.45339E+001  -0.12392E+001
     101   0.31297E+002  -0.11268E+002   0.17522E+001  -0.10892E+002   0.17224E+001  -0.10838E+001
     102   0.35270E+002  -0.96376E+001   0.27881E+001  -0.10922E+002   0.96617E+000  -0.28022E+001
     103   0.39243E+002  -0.80069E+001   0.38240E+001  -0.10953E+002  -0.48008E-010  -0.53946E-010
     104   0.35270E+002  -0.96376E+001   0.27881E+001  -0.10922E+002  -0.96617E+000   0.28022E+001
     105   0.31297E+002  -0.11268E+002   0.17522E+001  -0.10892E+002  -0.17224E+001   0.10838E+001
     106   0.25970E+002  -0.12520E+002   0.24617E+001  -0.69596E-010   0.13116E-009   0.10665E+001
     107   0.29554E+002  -0.12546E+002   0.58556E+001   0.56162E-010   0.76298E-010  -0.11667E+001
     108   0.33139E+002  -0.12572E+002   0.92495E+001   0.19970E-009  -0.37880E-010  -0.35318E-010
     109   0.29554E+002  -0.12546E+002   0.58556E+001  -0.15174E-010  -0.57529E-010   0.11667E+001
     110   0.25970E+002  -0.12520E+002   0.24617E+001  -0.24782E-009  -0.17868E-010  -0.10665E+001
     111   0.31297E+002  -0.11268E+002   0.17522E+001   0.10892E+002  -0.17224E+001  -0.10838E+001
     112   0.35270E+002  -0.96376E+001   0.27881E+001   0.10922E+002  -0.96617E+000  -0.28022E+001
     113   0.39243E+002  -0.80069E+001   0.38240E+001   0.10953E+002   0.29476E-010  -0.41466E-009
     114   0.35270E+002  -0.96376E+001   0.27881E+001   0.10922E+002   0.96617E+000   0.28022E+001
     115   0.31297E+002  -0.11268E+002   0.17522E+001   0.10892E+002   0.17224E+001   0.10838E+001
