    NODE   SXX         SYY         SZZ         SXY         SYZ         SZX  
       1  -0.10206E+003   0.63417E+001   0.19337E+002   0.30236E+001   0.37828E+001   0.42262E+001
       2  -0.98925E+002   0.74197E+001   0.31054E+002   0.36311E+001   0.26354E+001   0.20834E+001
       3  -0.95786E+002   0.84977E+001   0.42770E+002   0.42385E+001  -0.25991E-011   0.10192E-010
       4  -0.98925E+002   0.74197E+001   0.31054E+002   0.36311E+001  -0.26354E+001  -0.20834E+001
       5  -0.10206E+003   0.63417E+001   0.19337E+002   0.30236E+001  -0.37828E+001  -0.42262E+001
       6  -0.99521E+002   0.95827E+001   0.20027E+002  -0.33455E+000   0.18886E+001   0.46643E+001
       7  -0.94131E+002   0.14103E+002   0.34975E+002   0.18021E+000   0.91108E+000   0.23418E+001
       8  -0.88741E+002   0.18624E+002   0.49923E+002   0.69497E+000  -0.88750E-011  -0.41093E-011
       9  -0.94131E+002   0.14103E+002   0.34975E+002   0.18021E+000  -0.91108E+000  -0.23418E+001
      10  -0.99521E+002   0.95827E+001   0.20027E+002  -0.33455E+000  -0.18886E+001  -0.46643E+001
      11  -0.92854E+002   0.14310E+002   0.23671E+002  -0.36709E+001  -0.89967E+000   0.52140E+001
      12  -0.84505E+002   0.22445E+002   0.43347E+002  -0.33053E+001  -0.12471E+001   0.26170E+001
      13  -0.76156E+002   0.30579E+002   0.63023E+002  -0.29396E+001  -0.14948E-010   0.12229E-010
      14  -0.84505E+002   0.22445E+002   0.43347E+002  -0.33053E+001   0.12471E+001  -0.26170E+001
      15  -0.92854E+002   0.14310E+002   0.23671E+002  -0.36709E+001   0.89967E+000  -0.52140E+001
      16  -0.87346E+002   0.12426E+002   0.28318E+002  -0.23190E+001  -0.12400E+001   0.52721E+001
      17  -0.78199E+002   0.20674E+002   0.49569E+002  -0.21190E+001  -0.11288E+001   0.25918E+001
      18  -0.69053E+002   0.28922E+002   0.70820E+002  -0.19190E+001   0.13670E-011   0.10594E-009
      19  -0.78199E+002   0.20674E+002   0.49569E+002  -0.21190E+001   0.11288E+001  -0.25918E+001
      20  -0.87346E+002   0.12426E+002   0.28318E+002  -0.23190E+001   0.12400E+001  -0.52721E+001
      21  -0.85961E+002   0.90567E+001   0.30011E+002   0.11577E-010   0.54422E-011   0.52187E+001
      22  -0.76725E+002   0.17246E+002   0.51341E+002   0.32275E-010   0.11080E-010   0.25498E+001
      23  -0.67489E+002   0.25436E+002   0.72671E+002   0.21247E-010   0.20983E-010   0.14031E-009
      24  -0.76725E+002   0.17246E+002   0.51341E+002  -0.68723E-010   0.24448E-010  -0.25498E+001
      25  -0.85961E+002   0.90567E+001   0.30011E+002  -0.12697E-009   0.23649E-010  -0.52187E+001
      26  -0.87346E+002   0.12426E+002   0.28318E+002   0.23190E+001   0.12400E+001   0.52721E+001
      27  -0.78199E+002   0.20674E+002   0.49569E+002   0.21190E+001   0.11288E+001   0.25918E+001
      28  -0.69053E+002   0.28922E+002   0.70820E+002   0.19190E+001   0.11102E-010   0.94285E-010
      29  -0.78199E+002   0.20674E+002   0.49569E+002   0.21190E+001  -0.11288E+001  -0.25918E+001
      30  -0.87346E+002   0.12426E+002   0.28318E+002   0.23190E+001  -0.12400E+001  -0.52721E+001
      31  -0.92854E+002   0.14310E+002   0.23671E+002   0.36709E+001   0.89967E+000   0.52140E+001
      32  -0.84505E+002   0.22445E+002   0.43347E+002   0.33053E+001   0.12471E+001   0.26170E+001
