
 CHARACTERS IN INTEGER FIELD    =   7
 OUTPUT DISPLAY TYPE            =   E 
 CHARACTERS PER OUTPUT FIELD    =  15
 CHARACTERS AFTER DECIMAL POINT =   5
 LINES PER PAGE                 =****
 CHARACTERS PER LINE            = 140

 PRINT S    NODAL SOLUTION PER NODE

 *** WARNING ***                         CP =       5.188   TIME= 12:52:40
 The selected element set contains stiffness types (such as SURF154 )    
  which are not valid for error estimation.                              

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE 2019 R2          19.4     ***
 DISTRIBUTED ANSYS Mechanical Enterprise                       

 00348435  VERSION=WINDOWS x64   12:52:40  AUG 04, 2019 CP=      5.188

 first try--Static Structural (C5)                                             


 
  ***** POST1 NODAL STRESS LISTING *****                                       
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING X,Y,Z VALUES ARE IN GLOBAL COORDINATES                         
 
    NODE       SX             SY             SZ             SXY            SYZ            SXZ     
      51    0.21520E-002   0.81609E-003   0.17971E-003  -0.45369E-011  -0.15693E-010   0.87199E-003
      52    0.21520E-002   0.81609E-003   0.17971E-003  -0.47336E-011  -0.18910E-010   0.87199E-003
      53    0.21520E-002   0.81609E-003   0.17971E-003  -0.86634E-011  -0.99938E-011   0.87199E-003
      54    0.21520E-002   0.81609E-003   0.17971E-003  -0.48181E-011  -0.86513E-013   0.87199E-003
      55    0.21520E-002   0.81609E-003   0.17971E-003   0.16245E-012   0.31553E-011   0.87199E-003
      56    0.21520E-002   0.81609E-003   0.17971E-003   0.20940E-011   0.31941E-011   0.87199E-003
      57    0.17753E-002   0.70408E-003   0.23630E-003  -0.50415E-013  -0.81525E-011   0.71507E-003
      58    0.17753E-002   0.70408E-003   0.23630E-003  -0.57019E-011  -0.12553E-010   0.71507E-003
      59    0.17753E-002   0.70408E-003   0.23630E-003  -0.68321E-011  -0.20499E-010   0.71507E-003
      60    0.17753E-002   0.70408E-003   0.23630E-003  -0.37476E-011  -0.15101E-010   0.71507E-003
      61    0.17753E-002   0.70408E-003   0.23630E-003   0.38364E-011  -0.95342E-012   0.71507E-003
      62    0.17753E-002   0.70408E-003   0.23630E-003   0.76793E-011   0.86796E-011   0.71507E-003
      63    0.17753E-002   0.70408E-003   0.23630E-003   0.35373E-011   0.92611E-011   0.71507E-003
      64    0.25183E-002   0.87621E-003  -0.14880E-004  -0.30340E-011  -0.81494E-011  -0.92024E-003
      65    0.25183E-002   0.87621E-003  -0.14880E-004   0.21537E-011  -0.12707E-010  -0.92024E-003
      66    0.25183E-002   0.87621E-003  -0.14880E-004   0.71064E-011  -0.27275E-010  -0.92024E-003
      67    0.25183E-002   0.87621E-003  -0.14880E-004   0.98902E-011  -0.27992E-010  -0.92024E-003
      68    0.25183E-002   0.87621E-003  -0.14880E-004   0.13803E-010  -0.17016E-010  -0.92024E-003
      69    0.25183E-002   0.87621E-003  -0.14880E-004   0.78330E-011  -0.80671E-011  -0.92024E-003
      70    0.25183E-002   0.87621E-003  -0.14880E-004  -0.47017E-012  -0.91564E-011  -0.92024E-003
      71    0.23160E-002   0.88182E-003   0.20350E-003  -0.47441E-011  -0.45001E-011  -0.96175E-003
      72    0.23160E-002   0.88182E-003   0.20350E-003   0.60055E-011  -0.18060E-010  -0.96175E-003
      73    0.23160E-002   0.88182E-003   0.20350E-003  -0.14903E-011  -0.25231E-010  -0.96175E-003
      74    0.23160E-002   0.88182E-003   0.20350E-003  -0.13136E-011  -0.28326E-010  -0.96175E-003
      75    0.23160E-002   0.88182E-003   0.20350E-003   0.64087E-011  -0.21244E-010  -0.96175E-003
      76    0.23160E-002   0.88182E-003   0.20350E-003   0.47194E-011  -0.12683E-010  -0.96175E-003
      77    0.23160E-002   0.88182E-003   0.20350E-003   0.65783E-011  -0.78819E-011  -0.96175E-003
      78    0.18879E-002   0.66909E-003   0.23740E-004   0.31848E-011  -0.65213E-011  -0.62856E-003
      79    0.18879E-002   0.66909E-003   0.23740E-004   0.39147E-011  -0.87216E-011  -0.62856E-003
      80    0.18879E-002   0.66909E-003   0.23740E-004   0.28428E-011   0.69869E-012  -0.62856E-003
      81    0.18879E-002   0.66909E-003   0.23740E-004   0.11401E-010   0.88560E-011  -0.62856E-003
      82    0.18879E-002   0.66909E-003   0.23740E-004   0.11423E-010   0.12990E-010  -0.62856E-003
      83    0.18879E-002   0.66909E-003   0.23740E-004   0.91832E-011   0.14026E-010  -0.62856E-003
      84    0.18879E-002   0.66909E-003   0.23740E-004   0.53451E-011   0.92458E-011  -0.62856E-003
      85    0.17171E-002   0.67331E-003   0.20666E-003   0.44110E-011  -0.12642E-011  -0.68107E-003
      86    0.17171E-002   0.67331E-003   0.20666E-003   0.57959E-011   0.16378E-011  -0.68107E-003
      87    0.17171E-002   0.67331E-003   0.20666E-003   0.71501E-011   0.32583E-012  -0.68107E-003
      88    0.17171E-002   0.67331E-003   0.20666E-003   0.10836E-010   0.10072E-010  -0.68107E-003
      89    0.17171E-002   0.67331E-003   0.20666E-003   0.13988E-010   0.15803E-010  -0.68107E-003
      90    0.17171E-002   0.67331E-003   0.20666E-003   0.80542E-011   0.15449E-010  -0.68107E-003
      91    0.17171E-002   0.67331E-003   0.20666E-003   0.23591E-011   0.75152E-011  -0.68107E-003
      92    0.26479E-002   0.99453E-003   0.19357E-003  -0.50892E-011  -0.19931E-011   0.12029E-002
      93    0.26479E-002   0.99453E-003   0.19357E-003  -0.19066E-011  -0.19191E-012   0.12029E-002
      94    0.26479E-002   0.99453E-003   0.19357E-003   0.26813E-011   0.39517E-011   0.12029E-002
      95    0.26479E-002   0.99453E-003   0.19357E-003   0.66429E-011   0.27562E-011   0.12029E-002
      96    0.26479E-002   0.99453E-003   0.19357E-003   0.10312E-010  -0.55334E-012   0.12029E-002
      97    0.26479E-002   0.99453E-003   0.19357E-003   0.11917E-010   0.12839E-011   0.12029E-002
      98    0.26479E-002   0.99453E-003   0.19357E-003   0.43589E-011  -0.11687E-011   0.12029E-002
      99    0.23240E-002   0.90013E-003   0.24780E-003  -0.26224E-011   0.10659E-010   0.99423E-003
     100    0.23240E-002   0.90013E-003   0.24780E-003  -0.10301E-011   0.12128E-010   0.99423E-003
     101    0.23240E-002   0.90013E-003   0.24780E-003   0.26465E-011   0.10289E-010   0.99423E-003
     102    0.23240E-002   0.90013E-003   0.24780E-003   0.93992E-011   0.84393E-011   0.99423E-003
     103    0.23240E-002   0.90013E-003   0.24780E-003   0.90495E-011   0.37309E-011   0.99423E-003
     104    0.23240E-002   0.90013E-003   0.24780E-003   0.72834E-011   0.31839E-011   0.99423E-003
     105    0.23240E-002   0.90013E-003   0.24780E-003   0.55211E-011  -0.29652E-012   0.99423E-003
     106    0.58126E-002   0.23238E-002   0.82695E-003  -0.52128E-011  -0.46019E-011   0.19612E-003
     107    0.58126E-002   0.23238E-002   0.82695E-003  -0.79740E-011   0.39808E-011   0.19612E-003
     108    0.58126E-002   0.23238E-002   0.82695E-003   0.21565E-011   0.39721E-011   0.19612E-003
     109    0.58126E-002   0.23238E-002   0.82695E-003   0.76177E-011  -0.59577E-011   0.19612E-003
     110    0.58126E-002   0.23238E-002   0.82695E-003   0.27321E-011  -0.46200E-011   0.19612E-003
     111    0.58126E-002   0.23238E-002   0.82695E-003  -0.10133E-011   0.50121E-012   0.19612E-003
     112    0.58126E-002   0.23238E-002   0.82695E-003   0.38751E-011   0.57755E-011   0.19612E-003
     113    0.55302E-002   0.20945E-002   0.45412E-003   0.52588E-011  -0.59517E-011   0.24323E-004
     114    0.55302E-002   0.20945E-002   0.45412E-003   0.11657E-010  -0.21767E-011   0.24323E-004
     115    0.55302E-002   0.20945E-002   0.45412E-003   0.15953E-010  -0.14133E-010   0.24323E-004
     116    0.55302E-002   0.20945E-002   0.45412E-003   0.15409E-010  -0.20908E-010   0.24323E-004
     117    0.55302E-002   0.20945E-002   0.45412E-003   0.13048E-010  -0.15464E-010   0.24323E-004
     118    0.55302E-002   0.20945E-002   0.45412E-003   0.70832E-011  -0.11305E-010   0.24323E-004
     119    0.55302E-002   0.20945E-002   0.45412E-003   0.82673E-012  -0.89332E-011   0.24323E-004
     120    0.58628E-002   0.22018E-002   0.42787E-003  -0.64677E-011   0.67366E-012  -0.95787E-004
     121    0.58628E-002   0.22018E-002   0.42787E-003   0.12604E-011  -0.65863E-012  -0.95787E-004
     122    0.58628E-002   0.22018E-002   0.42787E-003   0.74199E-011   0.24203E-013  -0.95787E-004
     123    0.58628E-002   0.22018E-002   0.42787E-003  -0.50612E-012  -0.47145E-012  -0.95787E-004
     124    0.58628E-002   0.22018E-002   0.42787E-003  -0.18116E-010  -0.26419E-011  -0.95787E-004
     125    0.58628E-002   0.22018E-002   0.42787E-003  -0.15459E-010   0.11621E-012  -0.95787E-004
     126    0.58628E-002   0.22018E-002   0.42787E-003   0.55234E-012   0.86691E-011  -0.95787E-004
     127    0.56597E-002   0.20348E-002   0.15391E-003   0.65210E-011   0.59346E-011  -0.39905E-003
     128    0.56597E-002   0.20348E-002   0.15391E-003  -0.48868E-012   0.11922E-010  -0.39905E-003
     129    0.56597E-002   0.20348E-002   0.15391E-003  -0.56089E-011   0.53078E-011  -0.39905E-003
     130    0.56597E-002   0.20348E-002   0.15391E-003  -0.39529E-011  -0.50076E-011  -0.39905E-003
     131    0.56597E-002   0.20348E-002   0.15391E-003  -0.10048E-010  -0.90418E-011  -0.39905E-003
     132    0.56597E-002   0.20348E-002   0.15391E-003  -0.93717E-011   0.34833E-012  -0.39905E-003
     133    0.56597E-002   0.20348E-002   0.15391E-003  -0.43012E-011   0.11886E-011  -0.39905E-003
     134    0.36643E-002   0.12526E-002  -0.85463E-004   0.92012E-011  -0.11262E-010  -0.98710E-003
     135    0.36643E-002   0.12526E-002  -0.85463E-004   0.13788E-010  -0.14476E-010  -0.98710E-003
     136    0.36643E-002   0.12526E-002  -0.85463E-004   0.12912E-010  -0.96518E-011  -0.98710E-003
     137    0.36643E-002   0.12526E-002  -0.85463E-004   0.77257E-011  -0.31291E-011  -0.98710E-003
     138    0.36643E-002   0.12526E-002  -0.85463E-004   0.57414E-012  -0.12923E-011  -0.98710E-003
     139    0.36643E-002   0.12526E-002  -0.85463E-004  -0.21874E-011   0.22650E-011  -0.98710E-003
     140    0.36643E-002   0.12526E-002  -0.85463E-004   0.72060E-012   0.10939E-010  -0.98710E-003
     141    0.54070E-002   0.20110E-002   0.33865E-003  -0.95990E-011  -0.35446E-011   0.69425E-005
     142    0.54070E-002   0.20110E-002   0.33865E-003  -0.10675E-010  -0.10378E-010   0.69425E-005
     143    0.54070E-002   0.20110E-002   0.33865E-003  -0.14253E-010  -0.10604E-010   0.69426E-005
     144    0.54070E-002   0.20110E-002   0.33865E-003  -0.96131E-011  -0.91406E-011   0.69425E-005
     145    0.54070E-002   0.20110E-002   0.33865E-003  -0.11195E-010   0.11005E-011   0.69425E-005
     146    0.54070E-002   0.20110E-002   0.33865E-003  -0.28090E-011   0.10892E-011   0.69426E-005
     147    0.54070E-002   0.20110E-002   0.33865E-003  -0.14615E-011  -0.56639E-011   0.69426E-005
     148    0.56430E-002   0.23210E-002   0.98852E-003  -0.33339E-011  -0.38183E-011  -0.19115E-003
     149    0.56430E-002   0.23210E-002   0.98852E-003  -0.10213E-010   0.94175E-012  -0.19115E-003
     150    0.56430E-002   0.23210E-002   0.98852E-003  -0.16754E-011  -0.86891E-011  -0.19115E-003
     151    0.56430E-002   0.23210E-002   0.98852E-003   0.15367E-011  -0.17561E-010  -0.19115E-003
     152    0.56430E-002   0.23210E-002   0.98852E-003   0.19536E-012  -0.14308E-010  -0.19115E-003
     153    0.56430E-002   0.23210E-002   0.98852E-003   0.69213E-011  -0.11266E-010  -0.19115E-003
     154    0.56430E-002   0.23210E-002   0.98852E-003   0.18607E-011  -0.11233E-010  -0.19115E-003
     155    0.48759E-002   0.15547E-002  -0.43379E-003  -0.32638E-011   0.15198E-011   0.95010E-003
     156    0.48759E-002   0.15547E-002  -0.43379E-003  -0.10250E-010  -0.23727E-012   0.95010E-003
     157    0.48759E-002   0.15547E-002  -0.43379E-003  -0.16563E-010  -0.89101E-012   0.95010E-003
     158    0.48759E-002   0.15547E-002  -0.43379E-003   0.12919E-011   0.64334E-011   0.95010E-003
     159    0.48759E-002   0.15547E-002  -0.43379E-003   0.15579E-010   0.37575E-011   0.95010E-003
     160    0.48759E-002   0.15547E-002  -0.43379E-003   0.11582E-010  -0.35882E-012   0.95010E-003
     161    0.48759E-002   0.15547E-002  -0.43379E-003   0.15518E-011   0.16151E-011   0.95010E-003
     162    0.53747E-002   0.22616E-002   0.10869E-002   0.20695E-010   0.68527E-011   0.28061E-005
     163    0.53747E-002   0.22616E-002   0.10869E-002   0.18236E-010   0.37403E-011   0.28061E-005
     164    0.53747E-002   0.22616E-002   0.10869E-002   0.85130E-011  -0.51510E-011   0.28061E-005
     165    0.53747E-002   0.22616E-002   0.10869E-002  -0.25327E-012  -0.85239E-011   0.28061E-005
     166    0.53747E-002   0.22616E-002   0.10869E-002  -0.95948E-011  -0.15724E-010   0.28061E-005
     167    0.53747E-002   0.22616E-002   0.10869E-002  -0.11867E-010  -0.12836E-010   0.28061E-005
     168    0.53747E-002   0.22616E-002   0.10869E-002  -0.78327E-011  -0.76395E-011   0.28061E-005
     169    0.53497E-002   0.22463E-002   0.10683E-002   0.21187E-010   0.94390E-011   0.20587E-004
     170    0.53497E-002   0.22463E-002   0.10683E-002   0.18470E-010   0.53009E-011   0.20587E-004
     171    0.53497E-002   0.22463E-002   0.10683E-002   0.90143E-011  -0.73908E-011   0.20587E-004
     172    0.53497E-002   0.22463E-002   0.10683E-002   0.32557E-011  -0.13110E-010   0.20587E-004
     173    0.53497E-002   0.22463E-002   0.10683E-002  -0.74374E-011  -0.20444E-010   0.20587E-004
     174    0.53497E-002   0.22463E-002   0.10683E-002  -0.11532E-010  -0.16412E-010   0.20587E-004
     175    0.53497E-002   0.22463E-002   0.10683E-002  -0.54057E-011  -0.56173E-012   0.20587E-004
     176    0.53283E-002   0.22177E-002   0.10080E-002  -0.41524E-011  -0.52221E-011  -0.24322E-004
