

    NODE   SXX         SYY         SZZ         SXY         SYZ         SZX  
      59  -0.10000E+003  -0.55074E-002  -0.13303E-003   0.58897E-003  -0.12537E-003   0.16956E-003
      60  -0.10000E+003  -0.52933E-002  -0.24031E-004   0.47497E-003  -0.13692E-003   0.17670E-003
      61  -0.99996E+002   0.11179E-003   0.71580E-003  -0.11386E-002   0.19271E-003  -0.67014E-003
      62  -0.99996E+002  -0.25821E-004   0.69318E-003  -0.99696E-003   0.16847E-003  -0.56724E-003
      63  -0.99995E+002  -0.16343E-003   0.67057E-003  -0.85535E-003   0.16604E-012   0.66768E-012
      64  -0.99996E+002  -0.25821E-004   0.69318E-003  -0.99696E-003  -0.16847E-003   0.56724E-003
      65  -0.99996E+002   0.11179E-003   0.71580E-003  -0.11386E-002  -0.19271E-003   0.67014E-003
      66  -0.99999E+002  -0.15058E-002   0.40375E-003   0.71980E-003  -0.18231E-003  -0.47537E-003
      67  -0.99999E+002  -0.16927E-002   0.32078E-003   0.57001E-003  -0.16770E-003  -0.41254E-003
      68  -0.99998E+002  -0.18795E-002   0.23782E-003   0.42021E-003  -0.14620E-012  -0.59904E-012
      69  -0.99999E+002  -0.16927E-002   0.32078E-003   0.57001E-003   0.16770E-003   0.41254E-003
      70  -0.99999E+002  -0.15058E-002   0.40375E-003   0.71980E-003   0.18231E-003   0.47537E-003
      71  -0.10000E+003  -0.94469E-002  -0.46468E-003  -0.82072E-003  -0.22729E-004  -0.33153E-004
      72  -0.10000E+003  -0.95860E-002  -0.49261E-003  -0.86733E-003  -0.27886E-004  -0.46942E-004
      73  -0.10000E+003  -0.97251E-002  -0.52053E-003  -0.91394E-003  -0.27123E-012  -0.15266E-012
      74  -0.10000E+003  -0.95860E-002  -0.49261E-003  -0.86733E-003   0.27886E-004   0.46942E-004
      75  -0.10000E+003  -0.94469E-002  -0.46468E-003  -0.82072E-003   0.22729E-004   0.33153E-004
      76  -0.10000E+003  -0.11431E-001  -0.78960E-003  -0.62350E-012  -0.10804E-012   0.64809E-005
      77  -0.10000E+003  -0.11517E-001  -0.77076E-003  -0.50619E-012  -0.13954E-012  -0.12601E-004
      78  -0.10000E+003  -0.11603E-001  -0.75192E-003  -0.15496E-012  -0.18079E-012   0.31299E-013
      79  -0.10000E+003  -0.11517E-001  -0.77076E-003   0.13726E-012  -0.17167E-012   0.12601E-004
      80  -0.10000E+003  -0.11431E-001  -0.78960E-003   0.19554E-012  -0.15278E-012  -0.64809E-005
      81  -0.10000E+003  -0.94469E-002  -0.46468E-003   0.82072E-003   0.22729E-004  -0.33153E-004
      82  -0.10000E+003  -0.95860E-002  -0.49261E-003   0.86733E-003   0.27886E-004  -0.46942E-004
      83  -0.10000E+003  -0.97251E-002  -0.52053E-003   0.91394E-003  -0.27337E-013   0.37349E-012
      84  -0.10000E+003  -0.95860E-002  -0.49261E-003   0.86733E-003  -0.27886E-004   0.46942E-004
